"Number_of_Vehicles","Accident_Date","Time_24hr_","First_Road_Class","Road_Surface","Lighting_Conditions","Weather_Conditions","Type_of_Vehicle","Casualty_Class","Casualty_Severity","Sex_of_Casualty","Age_of_Casualty"
2,2017-01-01,"21:20","U","Wet",4,2,9,2,2,2,16
2,2017-01-04,"15:00","U","Dry",1,1,9,3,2,2,67
2,2017-01-05,"07:32","A","Wet",4,1,9,1,3,1,56
2,2017-01-05,"09:30","A","Wet",1,1,4,1,1,1,20
2,2017-01-14,"09:09","U","Ice",1,1,9,1,3,1,46
1,2017-01-15,"16:59","U","Wet",4,1,9,3,3,1,NA
1,2017-01-16,"10:59","A","Wet",1,1,9,3,3,2,25
3,2017-01-19,"18:49","B","Dry",4,1,9,1,3,2,50
1,2017-01-20,"14:08","U","Dry",1,1,9,3,3,2,64
1,2017-01-22,"13:25","A","Wet",1,1,9,1,3,2,22
2,2017-01-24,"11:26","A","Wet",1,2,9,2,3,2,21
2,2017-01-24,"18:30","A","Dry",4,1,9,1,3,1,29
2,2017-01-25,"12:58","U","Dry",1,1,9,1,3,1,24
3,2017-01-26,"11:33","A","Wet",1,1,19,1,3,1,29
1,2017-01-26,"15:46","A","Dry",1,1,9,3,3,1,5
1,2017-01-27,"13:35","U","Ice",1,1,19,3,3,2,14
2,2017-01-27,"14:05","U","Dry",1,1,9,1,3,2,33
2,2017-01-27,"22:33","U","Wet",4,2,9,1,3,1,28
2,2017-01-27,"18:35","U","Wet",4,1,9,1,3,1,NA
1,2017-01-29,"14:30","U","Wet",1,5,9,3,3,2,27
2,2017-01-29,"22:30","U","Wet",4,7,9,1,3,2,60
1,2017-01-30,"14:44","U","Dry",1,1,8,3,3,1,50
2,2017-01-31,"14:35","A","Wet",1,2,9,1,3,2,40
2,2017-01-31,"18:40","U","Wet",5,2,9,1,2,2,115
2,2017-02-01,"14:00","A","Wet",1,1,9,1,3,2,48
2,2017-02-02,"10:45","U","Wet",1,1,9,1,3,2,76
2,2017-02-02,"22:00","A","Dry",4,1,9,1,3,1,22
1,2017-02-03,"18:06","A","Dry",4,1,9,3,3,2,14
3,2017-02-04,"06:12","A","Wet",4,1,9,1,2,1,26
2,2017-02-04,"13:10","A","Dry",1,1,19,1,3,2,65
1,2017-02-04,"17:30","A","Dry",4,1,9,3,3,1,NA
2,2017-02-05,"12:27","A","Dry",1,1,9,1,3,1,51
1,2017-02-07,"09:21","U","Dry",1,1,9,1,3,1,67
2,2017-02-07,"14:23","B","Dry",1,1,9,1,3,1,28
2,2017-02-07,"15:46","A","Dry",1,1,9,1,3,1,34
1,2017-02-06,"19:00","U","Wet",4,1,9,3,3,2,14
1,2017-02-08,"08:33","U","Dry",1,1,9,3,3,2,13
1,2017-02-08,"14:30","A","Wet",1,1,9,3,2,2,76
1,2017-02-08,"17:30","U","Dry",7,1,3,3,3,2,45
2,2017-02-08,"18:30","U","Dry",4,1,9,1,3,2,30
4,2017-02-11,"06:05","B","Snow",4,3,9,1,3,1,35
